 ,CALANDER,CAMERA,CONTACTS,LOCATION,MICROPHONE,PHONE,SENSOR,SMS,STORAGE,OTHERS,TOTAL 
369,0,0,0,1,0,1,0,1,1,0,4
370,0,0,0,0,0,1,0,0,1,0,2
371,0,0,0,0,0,0,0,0,0,1,1
372,0,0,0,0,0,0,0,0,0,1,1
373,0,0,0,0,0,0,0,0,0,1,1
374,0,0,0,0,0,0,0,0,0,1,1
375,0,0,0,1,0,1,0,1,1,0,4
376,0,0,0,0,0,0,0,0,0,1,1
377,0,0,0,0,0,0,0,0,1,0,1
378,0,0,0,0,0,0,0,0,0,1,1
379,0,0,0,0,0,1,0,0,1,0,2
380,0,0,0,0,0,1,0,0,1,0,2
381,0,0,0,0,0,0,0,0,1,0,1
382,0,0,0,0,0,0,0,0,0,1,1
383,0,0,0,0,0,0,0,0,1,0,1
384,0,0,0,1,0,0,0,0,0,0,1
385,0,0,0,0,0,0,0,0,1,0,1
386,0,0,0,0,0,1,0,0,1,0,2
387,0,0,1,0,0,1,0,0,1,0,3
388,0,0,0,0,0,0,0,0,1,0,1
389,0,0,0,1,0,0,0,0,0,0,1
390,0,0,0,1,0,1,0,0,1,0,3
391,0,0,0,1,0,0,0,0,1,0,2
392,0,0,0,0,0,0,0,0,1,0,1
393,0,0,0,1,0,0,0,0,1,0,2
394,0,0,0,0,0,0,0,0,0,1,1
395,0,0,1,0,0,1,0,0,0,0,2
396,0,0,0,1,0,0,0,0,1,0,2
397,0,0,0,0,0,0,0,0,0,1,1
398,0,0,1,1,0,1,0,0,1,0,4
399,0,0,0,0,0,0,0,0,0,1,1
400,0,0,1,1,0,1,0,0,1,0,4
401,0,0,0,1,0,0,0,0,1,0,2
402,0,0,0,0,0,0,0,0,1,0,1
403,0,0,0,0,0,0,0,0,0,1,1
404,0,0,0,0,0,0,0,0,1,0,1
405,0,0,0,1,0,1,0,0,1,0,3
406,0,0,0,0,0,0,0,0,0,1,1
407,0,0,0,0,0,0,0,0,0,1,1
408,0,0,1,1,0,1,0,0,0,0,3
410,0,1,1,1,0,1,0,0,0,0,4
411,0,0,1,1,0,1,0,0,1,0,4
412,0,0,0,0,0,1,0,0,1,0,2
413,0,0,0,1,0,1,0,0,1,0,3
414,0,0,0,0,0,1,0,0,1,0,2
415,0,0,1,1,0,1,0,0,1,0,4
416,1,0,1,1,0,1,0,1,1,0,6
417,0,0,0,0,0,0,0,0,0,1,1
418,0,0,1,1,0,0,0,0,1,0,3
419,0,0,0,0,0,0,0,0,0,1,1
420,0,0,0,0,0,0,0,0,0,1,1
421,0,0,0,0,0,0,0,0,0,1,1
422,0,0,0,0,0,0,0,0,0,1,1
423,0,0,0,0,0,0,0,0,0,1,1
424,0,0,1,0,0,0,0,0,0,0,1
425,0,0,0,0,0,0,0,1,0,0,1
426,0,0,1,0,0,0,0,0,1,0,2
427,0,0,1,0,0,0,0,0,1,0,2
428,0,0,0,0,0,1,0,0,1,0,2
429,0,0,0,0,0,0,0,0,1,0,1
430,0,0,1,0,0,1,0,1,1,0,4
431,0,0,0,1,0,0,0,0,0,0,1
432,0,0,0,0,0,0,0,0,0,1,1
433,0,0,0,0,0,0,0,0,0,1,1
434,0,0,1,1,1,1,0,1,1,0,6
435,0,0,0,0,0,1,0,0,1,0,2
436,0,0,0,0,0,0,0,0,1,0,1
437,0,0,1,0,0,0,0,0,1,0,2
438,0,0,0,1,0,0,0,0,1,0,2
439,0,0,0,1,0,0,0,0,1,0,2
440,0,0,0,0,0,0,0,0,1,0,1
